,Reviews
1157,Awesome Phone❤️
1158,Good phoneSolid performance but heats up when gaming
1159,Brilliant purchase
1160,Camera of this phone is quite bad. It is not comparable to the phones in 10-15k phones. Phone is also hanging a lot while playing games. Phone body is like plastic toy mobile. Quite disappointed by realme for such a cheap quality phone.
1161,supern
1162,One Of the best mobile
1163,Under display fingerprint not working properly
1164,"Good phone but camera is not good. Quality is average like 10-12k phone. If you are looking a good phone for camera, its not for you."
1165,Mobile Super display super camera Good 👍Battery backup very less
1166,Amazing
1167,Camer is best and battery back up not up to mark but charging speed is so fast and performance best
1168,AWSOME PHONE IN EXCHANGE VALUE
1169,Very nice long life battery 🔋 backup
1170,Nice phone 📱
1171,I have purchased a realme gt master edition mobile phone 1 month ago. It become dead after using few days . Worst experience with flipkart
1172,It was fantastic. Battery should have more mAh. Camera should be more better. Overall it's 90/100
1173,Awesome photos
1174,Very good product for allrounder use
1175,Worthable
1176,Good
1177,Got in 24k
1178,Good but camera & battery should be improved
1179,Good product
1180,Very good..
1181,Very good product
1182,Best device for gaming
1183,This phone is Value for money.I'm happy with camera Front &RearBattery is doing quite well but charging is too fastPerformance is also good for daily used.Here's is some photos with this phone...
1184,Ok good quality
1185,Everything is good at thins price points
1186,Ok
1187,Value for money
1188,Good 👍
1189,Nice phone
1190,"I have purchased the phone ( 8/256) for 21999 during republic day sales. Best phone in this price range. I'm writting this review after 5 daysPros1. Good rear camera2. Good front camera3. Charging time only 30 minutes4. Good speed5. Super display6. Battery also more than expected7. Value for moneyI was using Xiomy phones for last 7 years, so facing some difficulties. That's the only problem I'm facing."
1191,"Got the delivery within 24hrs...i must say we can believe on Flipkart promise daye of delivery...Coming about phone...i never tried Realme Phones this the 1st phone i bought of Realme ...got this recommendation from one of my friend..Display - 5/5Performance - 4/5Charging speed - 5/5Battery size - 3/5 (should be 5000mah in this price)Speaker - 3/5 ( has a mono speaker, realme should offer Stereo in this price segment)"
1192,Amazing product
1193,Fantastic mobile go for it
1194,An absolute beast
1195,It's really Amazing just love it 😄
1196,Battery backup is low bt overall good product
1197,Excellent item
1198,Average mobile with high price segment.  Battery life is disappointing
1199,"The phone I bought on Big Billion Days sale. Variant is 8 GB / 128 GB.The device is running smoothly without any lag. Started playing CODM, without any lag. Device isn't getting heated that much. However, the download speeds have rocketed. The processor is superb. Check details on verus.com for snapdragon 778g. The battery @ 4300 mAh is a standard deal. Survives morning till night, on single charge. However, with gaming the device might need once or twice charging additionally.Charging fr..."
1200,Best phone
1201,Over power model
1202,Nice phone
1203,Best phone. I got it for 22k 8gb ram variant. Only downside is camera is not very good. Battery is good.Screen ontime I get around 7 hr with 10 percent left.Charger is superb. Charges from 0 to 100 in around 30minutes as advertised.Supersmooth experience.
1204,Satisfying purchase. Realme has worked hard on this one and results are for all to see.
1205,Product Quality value for money 🤑💰💰💰💰💰
1206,Heating issues are there
1207,So many bugs
1208,Nice stunning looks
1209,"I am using this phone for a while and I don't feel any lagging issue, so a plus point for its 778g processor. When it comes to camera quality, am in a state of delusion, because sometimes the photos are average but sometimes it's amazing"
1210,Cool too use
1211,"It is light weight and slim. Speaker is loud. Phone has good wifi and network connection ,speed. Camera is jam packed with features.Normal mode, potrait mode, 64mp mode, pro mode, street photography mode, ultra macro, starry night mode etc.It takes RAW images of size 30.6mb Camera is extremely good for street photography and overall too.I bought 8Gb variant for 21000. First pic is with cyberpunk filterSecond one is normal Last one is flamingo mode"
1212,Spuer quality phone and display and cemara.
1213,"Very good performance, nice phone"
1214,🔥Good shots📷 by realme gt master edition 💯
1215,Super
1216,Good
1217,Nice photo 👍
1218,This is best
1219,"Superb master class phone at this price and got it during an offer, bought it for my brother and he was extremely happy to have this phone.."
1220,"pros:-1.great look with premium feel in hand.2.performance is no doubt great, ram mangement is awesome3.on screen fingerprint is very fast 4.built quality also good5.camera is good but could be better at this price range. hope after some update it will be upto the mark.    selfie camera is ok.6.its charge very fast 0-100% near about 20-25 mint7.display is very good super amoled screen is very goodcons:-there is only one problem that is battery back up battery back up is not good."
1221,Good
1222,Very nice mobile looks camera and display excellent
1223,Realme GT edition very good mobile Good quality Fast charging
1224,Camera is not upto mark.Performance is good
1225,Nice pic
1226,"Small mobile. People with bog hands/palm may have difficulty in typing. Battery life is average. Around 12-15 hrs backup. But charger is super. Full charging within 30 mins. Camera, display and performance are very good."
1227,NYC mobile quick charging note but 31 full charge
1228,Worst phone that you can never ever get in your life.Such a great worst phone.
1229,I got it for 13500 after exchanging my mobile and I am so happy at that price. Battery performance is low but you can charge the Mobile Within 30min so no worries.
1230,Good batteryLooks awesome!!Handy!!..easy to use with single hand..Loved it  ❤️
1231,"If talk about design, phone looks great and feel very light weight so after hold it's feel very comfortable in hand. And back cover which available in the box is good quality.Hear are some points* Camera  is ok, not like like wow. Descent picture quality. But many modes are available in camera app.And front camera quality is not justify 30k.it's need more improvement.* Battery feels less when you used heavy task like gaming. But 65w charger is too fast which  30 to 40  minutes full change..."
1232,"Camera very bad, waste of money"
1233,Super 👍
1234,Excellent performance with good quality screen
1235,Good.
1236,Over all good
1237,Better phone design awesome
1238,"Lot's of bugs and issues with dile pad, game's"
1239,Nice performance
1240,"Overall good, awesome"
1241,Good product
1242,Display superb and dijain amezing
1243,Supb mobile
1244,Super
1245,Heavy hang isssu after 20 day
1246,Awesome camera... We can take good quality photos
1247,Nice loved it
1248,Good ones.
1249,"Phone is awesome.Camera is way good, just doesn't captures original images. Enhances too much. Battery is very poor. Performance is good. Go with this phone if you want to compromise with battery life."
1250,It's very reasonable price in Diwali sale.thank you Flipkart with smart upgrade plan.good strategy.
1251,"Overall performance is good and After usage of 3weeks battery on heavy usage last 12hrs. However its having a rapid fast charging, won't feel much."
1252,Awesome phone
1253,Love it.
1254,I Loved It Realme Is Doing Nice 👍👍 But Please Realme Use Sony Sensors In Rear Camera......This Phone Is Really A GT Monster.....
1255,Display and touch sampling rate is awesome 👍... some what dissatisfaction with battery.. honestly it lasts half day if you use heavily... but charging speed was crazy... overall good performance...
1256,"The best in every thing, thank you flipkart"
1257,Best phone must go for it
1258,display 10/10Betty 10/5Prosessor 1010Cemera 10/6Carching time 10/9
1259,Camera not good upto this price range...But overall good
1260,Great Mobile All are great only Battery performance is low
1261,It goes on vibrate mode on itself
1262,"Batter drain very fast,Camera quality not up to the markSnapdragon processor performance ok not very goodDisplay quality quite betterAbove 27000 it is not good phone 15k-16k avg phone"
1263,Good
1264,Camera not goodGraphics are niceBattery not good
1265,"Super Fast charging , back cam is good and display is good in day lighting, overall experience is good."
1266,Good mobile for latest features
1267,I regret buying this device. Please don't buy this device at all. I have wasted my hard earned money.
1268,Hanging problem
1269,Mobile performance is good. But sometimes when I am trying to cancel the ongoing call the disconnect button is not working many times.Realme should fix the problem soon.
1270,Very nice product
1271,"If battary capacity was low remaining everything was gud, I liked this product."
1272,Nice man
1273,It's an all-rounder phone at that price.
1274,I Love ❤it
1275,Nice
1276,"Important thing is smooth performance, decent camera,though it doesn't have Dolby speakers still they are good. It's display is very nice with 60 and 120 RR. For normal use battery last for one day but for heavy gaming it drains within 4 to 6 hrs , but again 65W superdart covers this. Ultra light weight phone which gives a premium feel . So, concluding the review if you are a heavy gamer go for gt neo 2 else if you are a normal user then go ahead with this nice phone. Thanks!!"
1277,Good performing phone with little bugs in few areas.
1278,Worst mobile i ever bought. Display have lot issues while we are using. Even typing also not able to do .And battery life is less not even 12 hrs
1279,Awesome phone just battery 🔋 is the concern can't used full day in one charge.. need to have power bank
1280,It is my first realme phone after using iphone and samsung. I want some budgetary phone this time with good features and found this one.here are my observations ...pros -> you all know technical details of this so i will tell you some practical points.Design - It is just awsm. I loved it and one of the main reason to buy that.Charger- 65W charger is just amazing. 30-35m for full charge.Handy - Phone is not very heavy and can be handle within hand easily.cons - >1.UI - To me its UI is...
1281,I write review after using 1 monthPhone have little heating problemCamera 4/5Battery 4/5Battery charger 5/5Display5/5
1282,Must buy awesomeCamera is soooo pooor
1283,Good
1284,Camera not that much good. Sound also not good.
1285,Awasome this prise segment...
1286,Very good Phone butIn box data cable missing
1287,Overall good but battery slight Disappointed
1288,I use this phone on a normal usage it gives me a full day battery after playing cod on max graphics for 1hr everything's great about this phone just go for it
1289,Superb ❤️
1290,So like this mobil mast product good
1291,Great product with this price range.. awesome product from realme.
1292,Good experience
1293,"Its good and all. Camera can be a bit more optimised, as it has the capability. Battery is good. All in all a deal grabber for the money it asks.👍👍👍"
1294,Very good and affordable price mobile with all features
1295,Super device
1296,Superb phone
1297,"Refresh rate is very smooth, performance is fast and gaming is mind blowing."
1298,Awesome mobile and this price So awesome
1299,Nice
1300,Amazing
1301,"Nice phone display, camera & performanceBattery is decent. Overall good product."
1302,Superb
1303,Good midrange phone
1304,mobile is slow lagging to much heat i have written complaint no update came every one gets good network but my device gets disconnected always
1305,Good mobile.Price worthy .But phone is little bit heated ..
1306,Wow so beautiful colour i loved it
1307,worst product
1308,Good product... battery is some concern
1309,Wrost phone ever
1310,"Good but not worth it, this smartphone must come under 20K buying this for 30K is totally wastage of money, The camera is quite decent but the most worst thing is it's battery it only Lasts for 4.5 hours while gaming no matter it comes with 67 fast charging but it's very boring to charge your phone again and again. Speaker should have been better under this price range."
1311,"Overall it is very Good, Easy to use Very Fast in performance and Stylish"
1312,"This is the realme's best devise,for gaming , performance, camera, display, storage,this Is my best phone in my life"
1313,It is the great product must buy 👍👍👍👍
1314,Superb
1315,Not worth for money bad quality
1316,"No issues with performance, display. Camera is a little bit not up to the mark according to price, still 4 out of 5 for the cam.The biggest drawback is the Battery. Forget gaming, max 5-6 hrs screentime on general usage.Havent played game but I guess it won't last longer than 3hrs with intense gaming."
1317,The mobile was sleek as expected and the performance was best at this price. The charging makes me happy.
1318,Camera is pretty average..night capture mode is slow. Battery is worst. Drains n switch off so fast
1319,Except battery capacity all ok go for it
1320,Value for money…
1321,Display and performance are the best part of this mobile
1322,Realme gt master edition is a great phone camera is a fantastic and very very nice phone and looks a fantastic and very slim phone.👌👌I love it realme gt master edition 😍😍
1323,Amaging mobile
1324,Battery backup very low
1325,Overall a good phone (by performance) but camera wise worst phone...
1326,Excellent
1327,Very nice superAmaging phone
1328,Worst mobile....Bad recording feature.google control user data n privacy
1329,Not in good quality made by plastic 🙄 😒
1330,Phone was over heated. Battery backup wasn't sufficient. Over-all everything was good not perfect.
1331,Value for money and excellent performance phone.
1332,Phone is heating and not working fast waste of money
1333,Excellent 👌👌
1334,Good
1335,Very bad camera vested of money
1336,Very bad cameras vested of money
1337,Battery drains out very soon....rest all are ok...
1338,Love the phone
1339,Very good
1340,"Mobile good but battery not good,....."
1341,Great mobile by Realme .
1342,Nice phone ☺️☺️ before delivered
1343,I like this phone Its charging speed superbFull charged in just 30 min performance is also superb
1344,Good
1345,Good quality
1346,Good 🤞
1347,Very good
1348,Got the mobile with perfect price...So it's just wow
1349,Great phone
1350,Very nice
1351,Bad battery backup
1352,This phone is really good but the main issue I found is with its battery backup. It could have been better. Else everything is great.
1353,Just EXCELLENT 😁
1354,Nice phone. Good screen display quality. Processor is very fast. Lightning speed. Speaker is decent. Overall Nice combination.Update - some issues with Google maps. While using Google maps phone stuck at one place and then no review on current location. Phone's satelite connectivity having some issues. Pls update if anyone other having same issues.
1355,Every time on do not distrib this problem
1356,Good but battery 🔋 problem
1357,"Wow man jst wow....its a very very nice mobile....all in one package...though battery is downside but 65 watt dart charging is owsm....camera,looks,screen, performance all are fab....go for it guys."
1358,Good quality phone with best specs but there is one issue Sim 1 internet is working and Sim 2 internet not working
1359,Best mobile and battery level and smooth phone
1360,Best
1361,Don't buy this phone is you are looking for camera Camera quality is worst in this price rangeHang problem after long use Battery drainage problem During audio call recording others person get easily hear the sound by system that call is being recorded
1362,Camera are very poor they are saying 64mp but picture clarity looks like 16mp camera. Also portrait/booke mode is not working properly. It's taking too much processing time for night mode. They aren't provide any glass for screen protection. No default FM provided and i can't find any way to install FM radio
1363,Really REALME GT MASTER  edition is the master of all mobile.
1364,"Battery drains ver fast.  However, good part is the fast charger that goes to 100% in just 30 mins.Overall good phone, not tried gaming features"
1365,"Call recorder is worse, processor some time not working."
1366,Mobile is looks like beast.....ButBattery 🔋 charging faster..... but drain faster than faster....Speaker 🔊 not working well low sound quality.... and within few days I got speaker issue....Call recorder is simply waste ....Sometimes mobile is hanging....Performance speed is good....Mobile Phone getting heat very soon Even while charging and using.....Camera 📷 is good but not great.....This mobile don't have refund option also....Sometimes data is not working always gett...
1367,Value for money.
1368,Don't look at anything.... Go for it
1369,Heats up fastly on normal usage . Battery drains very fast SOT 5-6 hours. Sometimes 4 hours only. Screen size less .Better go for Samsun or poco brands.
1370,Average
1371,Nice
1372,Good
1373,Good
1374,Awesome Product
1375,"Nandi bongsher chele ai phon use korbe , apnader company r vaggo valo😊"
1376,"Expected better sound and camera, but overall superb"
1377,Utuber Pandeyji recently Purchased this master edition of realme..literally good quality value for money.
1378,Nic phone dear
1379,Running satisfactory.
1380,Very bad phone heating issue very bad phone
1381,nice
1382,"Mobile hanging ,sometimes heat issues"
1383,"Overall after 1 month of usage, I felt its good phone for day to day usage, since i dont play any games i cant say much about gaming performance.What I liked1 Fast charging, its really super speed, you cant expect more, dont worry about battery while i finish my coffee it completes more than 50% charging😂👍2 Phone is very light and fit to hand very much, easy to use.3 Not much irritation from notification and blot wares apps but still their are few apps.4 Network and Wi-Fi reception is ..."
1384,NOT VALUE FOR MONEY......NOTHING EXTRAORDINARY EXCEPT CHARGING......CHARGING IS FAST GETS COMPLETELY FULL IN HALF AN HOUR.... PERFORMANCE IS SAME AS OTHER NORMAL PHONES
1385,Good
1386,Superb performance mobile value for money
1387,Good
1388,Gud
1389,It's a hell of a smartphone. Power packed performance vise. So many features. This is the very first time i tried my hands on realme & i regret not using it before. But all & all i like it & gives it a thumbs up 👍.
1390,Price heavy
1391,"Phone is slim, display is sharp, battry back is up to one day, front camera is good."
1392,realme Gt masterAfter update my phone 11 A.07 version .i didn't get good camera clearity front and rear.I didn't feel 120hz smooth scrolling.internet issues and heating.
1393,Battery backup is not good
1394,Best phone
1395,Amazing phone
1396,Such a nice product at this price range . Good battery nice camera and superb display with 120 Hz refresh rate .
1397,Super smartphone
1398,Nice product 😊😊😊❤️❤️❤️❤️❤️🥰🥰🥰🥰🥰🥰😍😍😍😍😍
1399,"Got this product for 19k with exchange. Phone is very good. Nice display, good power charging, camera is nice. Loved it. Worth buying."
1400,A good phone but slightly overpriced.
1401,Super Smart Phone
1402,Best product under 20000
1403,Worth for every paisa...
1404,Really good.
1405,Very good mobile value for money
1406,This midel is looking awesome...😊
1407,Not suggest
1408,Best in the market till date
1409,Good
1410,It's osm
1411,Phone performance is amazing. And overall look is great.
1412,nyc
1413,"In this Range, super phon"
1414,"Nice Phone , amazing phone in this price.."
1415,Excellent Mobile
1416,Great ❤️
1417,Phone quality very bad after calling sound is guerre some disturbance is there. Some time phone calls are disconnected.Totally poor products
1418,Overall superb device  and at which price I got it during big billion days sale ...I loved it..
1419,Top
1420,Very very nice
1421,I brought  this phone 8-128 GB with exchange (5k) at 14k during Big Billion day. Pros 5G band---> It supports 12 bands unlike other companiesCamera --> simply wow performance... Display and fingers print sensor--> Super amoled display with in display finger print sensor done soo good... In display finger print sensor is as much fast as physical sensor.ConsBattery--> the major con I would say is battery even with Snapdragon 778 it will stand only for one day normal use. The main advant...
1422,I am interested this phone
1423,Good
1424,Best to get under 25k
1425,Good
1426,Good
1427,Good nice product battery life last one day with moderate use.
1428,Update in game space app
1429,I have been using this phone since last few weeks..will give it 3points out of 5 points. Battery gets discharged very frequently though the charger is a great help with very very fast charging. Display is smooth..camera is very basic and not so satisfying. Will post my full review once I use this phone for at least 1 month.
1430,Very Nice
1431,"Writing almost after using 20daysPhone is marvelous, charging is blazing fast...loved the performance.Except 3 cons. Phone is best in every expect1. Bloatware, 2. Battery (if you are a heavy user, but not to worry it has lightning fast changing)3. Camera (camera is overall good but not up to mark)Sugg-✓If camera is your priority then go for Samsung...✓If you have a serious issue with bloatware leave it, because there is no option to disable bloatware app."
1432,Performance Beast🔥
1433,Naic
1434,Bad experience from flipkart
1435,Excellent 👍👍👍
1436,Good
1437,Nice but price if 2000 less .then it it the best product
1438,Good
1439,Good.
1440,Over all good
1441,Beautiful mobile with high performance hardware.
1442,Good
1443,Super fast phone and delivery
1444,Good one GT master edition😍
1445,Super
1446,So happy
1447,Nice phone thank u flipkrat for fast delivery......
1448,I love the phone.and one secrect feature is 3 gb expandable rom is very good.Camera result was altimate.Display touch and vision was good.
1449,Best- cameraGood- performanceGood_- quality💗💗💗💗💗💗💗💗💗💗💗
1450,MY MOBAILE  PAKING  FASLITY IS NOT AVALIBLE
1451,Great device from Realme at a very competetive price. One of the best mobile device in its price range. Loved it.
1452,Phone great but battery should be good it drains of very fast...
1453,Realme GT Master is really Master Phone
1454,realme gt master edition is very nice and cheap mobile
1455,"Excellent model, worthy price."
1456,Worth of cost but stereo speakers are missing compared with this budget mobiles
1457,At this price best phone
1458,I like it...😊
1459,Good phone
1460,Very bad mobile heating and battery backup very bad
1461,Good
1462,Good product
1463,Nice
1464,very nice
1465,"15 days review1. Connectivity worst both wifi and mobile data2. Battery just avrage3. Performance Okay4. Value for money totally not5. Camera not up to the markBelieve Me I have used multiple high-end device and this is the worst , I suggest you to skip this phone"
1466,Nice
1467,"Using this phone from past 20 daysTill now awesome experience in terms of display, performance, charging, gamingThe only reason i gave 4 star is because of cameraElse it would have been 5Camera is not upto the mark in the price rangeBut if you got this phone in sale, i got it for 17kThis phone is value for money"
1468,Nice
1469,Light waited and  slim mobile
1470,It's good product from Realme and thanks to Flipkart for availing Smart upgrade offer to this mobile. Hope you will avail the same offer to rest of the mobiles too.
1471,"every thing is good camera ,ram ,performance, overall good.only is little weak only suitable for 1day use. charger is super fast. mobile getting 100% charged in 30 min. battery could be better"
1472,Super
1473,Quality build not good
1474,ultimate performance
1475,Good
1476,quality good and service great
1477,"Using from three months :-Good camera, best performance,"
1478,After more than 3 Months of use I am writing this feedback.Front Camera is Too worst while Back camera is Awesom 👌 if you are selfie lover Then Don't buy this Mobile.Touch responsibility is Too Good.After turning on GT Mode It becomes Monster in Performance.Display quality is best.Charging Time  30min upto 100%.Battery 🔋 Backup is also good 1 Day for Normal Use.Video Quality is Also Awesom.One word for All:- I AM HAPPY WITH GT ME bcoz I AM not Selfie Lover.
1479,Nice Mobile
1480,Very nice
1481,Good experience
1482,Amazing camera. Performance is Excellent 👌.
1483,Good Phones
1484,Fast recharge and fully fast processing
1485,Perfact Mobile.
1486,It is a great product and  has a very slim and nice body  and it doesn't heat like other phones and the gaming performance is best nad camera quality is also good and it contains so many features as well as nfc band also and a very nice battery life and it takes 15 to 20 minutes only to full charge so I will suggest that it is a good product from realme and Flipkart thanks for such a great product
1487,I think this waste of money 🤑🤑🤑
1488,Superb mobile
1489,I loved it
1490,Ok
1491,Super
1492,Awesam 🌹🌹🌹
1493,It's a super value for money smartphone but the battery was not so good But it's ok Except battery the whole phone was zabardastGo for it Thanks Filpkart and also Realme
1494,Good mobile
1495,good mob and best features
1496,Satisfied
1497,Super mobile
1498,"Awesome design, great display, camera little bad but it support Google camera so with Google camera, camera clicks awesome pictures with a great amount of detail, only problem with the phone is it's battery, battery dies very soon, but can blame it's, with 120 hz display and other features, it's obvious. Charging is great though, Completely charges your phone in 30 mins"
1499,Good working phone like that Camera quality and
1500,It's awesome products
1501,Very good at playing games.
1502,Ok
1503,Good mobile phone
1504,Good
1505,I am happy to buy this one satisfied with GT Master Edition.This heat up of we play games on full brightness.We need to enable GT mode for better gaming performance.Overall satisfied.
1506,Good..
1507,Superb
1508,Awesome performance phone on good price thanks Flipkart feeling wow ...
1509,Ameging phone and wonderful ferformence
1510,Good product
1511,Superb
1512,"I am not at all happy about this phone, I just got 2.5 months while using this phone 😒"
1513,Just one word reviewAWESOME😎
1514,"Awesome camera,battery backup is not so nice but 65w super dart charger fulfill the needs and super amoled display is really appreciable."
1515,worst mobile and flipkart service is very bad
1516,Nice phone
1517,Nice performance value for money
1518,"Its a best mobile fast charging best, selfie camera is best, GT option for games is also goodOverall it is superior mobile"
1519,Autocall recording not in this phone
1520,Best gaming experience
1521,Battery Is Poor
1522,Amasing
1523,Camera section was just ok
1524,Super 👌😍
1525,Okay better for normal usage
1526,Nice phone
1527,Look of the mobile is very good 😊
1528,GOOD
1529,Nice phone.... Loved it...
1530,One of the best phoes i used
1531,The battery is like the worst possible processor  is not too good even camera sometimes  gives a very bad result..overall I will prefer neo 2 than master edition
1532,"Battery is damn bad , it drains by its own in just an hours . Gaming is descent , but after long term gaming  say for more than 1 hours of pubg it went on irresponding , touch  doesnt respond accordingly . Won't suggest for gaming .Camera is damn good at this price segment .Charging is good but drains too fast , need some updates . Bugs are still there which can not be turned off .  Display is good , won't say best but good enough . Speaker is loud enough and out is good too.Overall phone..."
1533,Best service and good product
1534,Good performance
1535,Just go for itValue for money 💰
1536,"Everything is good about the phone, the only issue is idle battery drainage , overnight your battery would drain by approx 10-12% Still it's the best buy if getting under 23k"
1537,Stylish active look slim & attractive Master.
1538,Excellent . Awesome Camera . Worth buying in the mid range flagship phones. Better than redmi and Vivo and samsung
1539,"First thing first..It's super light weight, which is refreshing change from mid rangers.. Processing is fast and camera is decent. Overall a very good value for money buy."
1540,Good
1541,Nice one
1542,Good phone
1543,Good mobile at this price range..I was used this device last 10 days..I liked it🥰🥰
1544,Go for it
1545,Mobile are good but battries performance is very bad
1546,Value for money
1547,"Mobile is so good.camera, battery performance are also good.But the price is a bit high."
1548,It's one problem is that it should have stereo speakers while it has only mono speaker apart from that the performance should be lil bit better than that in this price range.But this phone is amazing really a master in every aspect except speakers which more than sufficient but if they would have given stereo speakers then it was way better . Thanks
1549,Loved the products
1550,Best mobile phone
1551,Awasome product
1552,Bettery is pathetic. Display is more than I expectedSometimes lags a bit.Charging speed is phenomenal.
1553,"Flipkart was fastest delivery in just 2 days. Mobile camera , charging, gaming performance, design awesome. Superdart 65 w charger will charge in  20 minutes for 100 %"
1554,Every thing good but price so high
1555,Fantastic Pho
1556,I have purchased this item on BBD. Initially Camera quality was not upto mark but recent update it has been improved a lot. We have to compromise little bit regarding battery performance but 65W charging is the best thing with it. It is not Corning Gorilla glass in it as the protection which should be there as it is costly phone otherwise product it very good. I haven't faced any kind of lagging .I am satisfied with it.
1557,Very smooth and fast work
1558,Nice phone
1559,Nice product
1560,"Worth buying, value for money product."
1561,Performance is top level bt camera is average
1562,Awesome phone according to me
1563,"Amazing ProductGood Performance, Display, Battery.Charging Speed is next level.Camera can be a little more better. Realme should focus on better camera sensors than AI.Overall recommending this product."
1564,Poor battery backup and camera performance for its price.Everything else is ok
1565,It's awesome phone
1566,"Average phone, disappointing camera performance, camera hung for night pictures, average battery life with fast changing."
1567,Heats very quickly. Excessive heating. Too hot to hold. Didn't knew this issue before buying. Does anyone have a solution for this excessive heating?
1568,Mobile was good but charging didn't stand long remaining all perfect
1569,GOOD
1570,Mobile gets heat after 1hr of usage and battery also drains very fast.Camera at 🌃 Night  mode is worst.
1571,Nice quality...Nice camera...Nice performance.....Display is low.....Value of money.......20999 rs( 8/128 )
1572,"Overall phone is very good but according to price the camera quality is not good as compare to the other products in this price. But gaming is very smoth, no heating issue, and the 65 watt charger is very fast and impressive.........."
1573,Good
1574,Nice mobile
1575,One of the best phone.
1576,Bad poor battery
1577,Excellent with best price
1578,Veryy smooth touch and excellent working condition
1579,Ok
1580,Very nice phone
1581,Super Exllent
1582,Mobile heated
1583,Very good phone for this price
1584,"Excellent product quality and specs are amazing, wish it has 5k mah battery too"
1585,After using 2 Week ReviewBattery 🔋 back up not much effective.Rest 💖💖Charging 33min 0 to 100%
1586,Battery Backup very poor
1587,Phone is good but battery backup is average
1588,Overall decent phone.
1589,Very nice phone
1590,Value for money bettery is average
1591,Best Mid-range Flagship Phone
1592,Power packed performer...the device feel sturdy rock solidCamera needs updation overall gud smartphone under offer..
1593,Nice phone smuth operation display is very good quality locking slim and light weight phoneBattery performance is good  because 4300 mh battery
1594,CAMERA QUALITY IS NOT SO GOOD
1595,"No IR BLASTER,This is only the drawback .... Otherwise all are good with this phone."
1596,"Heating issue,call bugs,speaker problms"
1597,Chinese is chineseSecurity concerned people stay away from buying it because1. So many intrusive ads(even in inbuilt file manager it s**ks.)2. So many inbuilt unwanted Aps u can't uninstall3.large amount of background data use about 400mb in 10 hours (dont know what it is used for because all apps are already updated and no system update was available)4. Battery drains fast but sufficient for 1 day normal use. But not sufficient for gamers. But charging is as fast as advertised.Other th...
1598,Everything is Fine in this phone but only drawback is Camera performance.If you're looking for a good camera phone then dont go with realme Gt at all .Battery -  draining Fast in 120Hz screen. In 60Hz its ok.
1599,After 1 week of use the phone started lagging so much and after that I even gave to service but no use of it. Don't buy this phone the lagging so irritating.
1600,Awesome phone got on a great deal on BBDBut the packaging was very bad felt like it was repacked and sent
1601,Phone 📱 is getting heated up during charging. That's it and camera 📷 working good ☺️.
1602,Good performance 😄😄😄
1603,Mobile is awesome . Realme ui is nice . Smooth performance. Am little much confused while buying mi 11x va gt master edition but gt master really have  better experience.if u hard core gamer u go with mi 11x then nrml gamer go with gt master no doubt.
1604,Disappointed with Camera performance.very poor quality
1605,My review after using it for a month:Pros:1. Excellent performance. No lagging or slow.2. Excellent display.Cons:Battery is very poor comparing the price and market demand. They should do something about it. My 3 years old phone has same battery backup time as this mobile.
1606,"Awesome performance, fantastic display and more. Overall, a good phone.Got best exchange value for my Redmi 4 (4, 64GB) i.e. 9500.Attached are some camera samples in the evening time. Great shot and photo quality in both main sensor as well as ultrawide sensor."
1607,"I personally don't like it, earlier I was using realme XT and its interface was better with brilliant camera."
1608,Awesome 👌
1609,"What a beast Thank you flipkart for this amazing offer Got it in 21,000 onlyOnly stupid Netflix and some other bloatware are concernBu other aspects its just amazing ❤️❤️❤️"
1610,Display 5/5Camera 3.5/5 Performance 5/5Battery 4/5Note: for better camera experience install Google Cam.
1611,"Best performance,smoothness and camera..."
1612,Best performance mobile beaten all phones camera good  not recommended for photo lovers Battery 8 hours but full charge only in 30 minDaily use best mobile ....
1613,Great 5g mobile ever... Very happy with buyed this mobile.
1614,Best beast♥️Value for money🔥
1615,Camera very bad quilty and batarry also dry out sepedly heating problem also iam not stasfied
1616,Great
1617,Super
1618,Vr very good performance camera quality is very best night camera best of best but battery is only 4star
1619,Good
1620,Awesome phone.camera is super.
1621,Phone got dead in 3 days from the day of purchase. claimed for replacement but they have denied to replace and even service center also denied to take it for service.. i dont know how new phone will get dead in just 3 days...
1622,Good product
1623,"Value for money. Very nice mobile. Camera, performance, battery is awesome."
1624,I feel battery drains fast for regular usage
1625,"Nice phone in this price range. Fast charging , RAM, and screen response rate are positive points.  Camera is great in day light condition. AI function works well. Night captures are not up to the mark. Few features should have been added as, owners customized wallpapers (which can consist of multiple pictures from phone memory) , dial display (current display is simple white) . One more drawback which needs to be worked upon is, announcement which happens when we start to record a call...."
1626,It's real master.
1627,Phone is good but battary performance is some more what less
1628,Over all nice phone
1629,Overall good experience
1630,Very good performance
1631,Nyc phone
1632,Nice mobile but camera 👎🏻
1633,"This is a best value for money phone. Pros:  processor, RAM storage, display, super fast dart chargerCons : no dual speaker, bettety can be little bigger 5000 amp. and UI customisation AND OS update.Overall worth every money you have spent."
1634,Good for performance not Camera phone
1635,Its afforadable
1636,Nice
1637,Good for this price
1638,Phone was good but I think it's not very good for me. I want to 888 SD processor but I think this price segment this processor is sufficient for me 760 SD processor is very good. the phone looks and handling is very good or camera is overall ok ok. screen and body ratio is very good and I think this price the phone is very good.
1639,Good
1640,Worst smart phoneGetting heating issuePls don't buy guys
1641,Great Product with Discount
